Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
225,21,25,1,53,26.5
226,20,25,1,53.2,26.6
227,32,25,1,53.4,26.7
228,28,25,1,53.6,26.8
229,24,25,1,53.8,26.9
230,18,25,1,54,27
231,17,25,1,54.2,27.1
232,22,25,1,54.4,27.2
233,21,25,1,54.6,27.3
234,21,25,1,54.8,27.4
235,21,25,1,55,27.5
236,14,25,1,55.2,27.6
237,21,25,1,55.4,27.7
238,21,25,1,55.6,27.8
239,17,25,1,55.8,27.9
240,20,25,1,56,28
241,28,25,1,56.2,28.1
242,21,25,1,56.4,28.2
243,18,25,1,56.6,28.3
244,11,25,1,56.8,28.4
245,20,25,1,57,28.5
246,18,25,1,57.2,28.6
247,18,25,1,57.4,28.7
248,7,25,1,57.6,28.8
249,15,25,1,57.8,28.9
250,6,25,1,58,29
251,14,25,1,58.2,29.1
252,9,25,1,58.4,29.2
253,25,25,1,58.6,29.3
254,15,25,1,58.8,29.4
255,13,25,1,59,29.5
256,22,25,1,59.2,29.6
257,15,25,1,59.4,29.7
258,15,25,1,59.6,29.8
259,15,25,1,59.8,29.9
260,14,25,1,60,30
261,9,25,1,60.2,30.1
262,18,25,1,60.4,30.2
263,19,25,1,60.6,30.3
264,9,25,1,60.8,30.4
265,10,25,1,61,30.5
266,10,25,1,61.2,30.6
267,17,25,1,61.4,30.7
268,16,25,1,61.6,30.8
269,12,25,1,61.8,30.9
270,7,25,1,62,31
271,10,25,1,62.2,31.1
272,13,25,1,62.4,31.2
273,13,25,1,62.6,31.3
274,22,25,1,62.8,31.4
275,16,25,1,63,31.5
276,16,25,1,63.2,31.6
277,12,25,1,63.4,31.7
278,18,25,1,63.6,31.8
279,13,25,1,63.8,31.9
280,16,25,1,64,32
281,10,25,1,64.2,32.1
282,13,25,1,64.4,32.2
283,20,25,1,64.6,32.3
284,9,25,1,64.8,32.4
285,11,25,1,65,32.5
286,13,25,1,65.2,32.6
287,7,25,1,65.4,32.7
288,13,25,1,65.6,32.8
289,7,25,1,65.8,32.9
290,15,25,1,66,33
291,11,25,1,66.2,33.1
292,9,25,1,66.4,33.2
293,7,25,1,66.6,33.3
294,19,25,1,66.8,33.4
295,11,25,1,67,33.5
296,11,25,1,67.2,33.6
297,9,25,1,67.4,33.7
298,10,25,1,67.6,33.8
299,10,25,1,67.8,33.9
300,11,25,1,68,34
301,12,25,1,68.2,34.1
302,5,25,1,68.4,34.2
303,12,25,1,68.6,34.3
304,7,25,1,68.8,34.4
305,9,25,1,69,34.5
306,9,25,1,69.2,34.6
307,7,25,1,69.4,34.7
308,12,25,1,69.6,34.8
309,12,25,1,69.8,34.9
310,9,25,1,70,35
