Time,X-ray (ID 01) / Impulse Imp,X-ray (ID 01) / Voltage U,X-ray (ID 01) / Current I,X-ray (ID 01) / Detector angle ? _d,X-ray (ID 01) / Crystal angle ? _c
t/s,Imp/# / s,U/kV,I/mA,? _d/°,? _c/°
,,,,,
264,16,25,1,60.8,30.4
265,22,25,1,61,30.5
266,22,25,1,61.2,30.6
267,18,25,1,61.4,30.7
268,16,25,1,61.6,30.8
269,15,25,1,61.8,30.9
270,14,25,1,62,31
271,14,25,1,62.2,31.1
272,16,25,1,62.4,31.2
273,15,25,1,62.6,31.3
274,7,25,1,62.8,31.4
275,22,25,1,63,31.5
276,10,25,1,63.2,31.6
277,18,25,1,63.4,31.7
278,16,25,1,63.6,31.8
279,22,25,1,63.8,31.9
280,16,25,1,64,32
281,5,25,1,64.2,32.1
282,11,25,1,64.4,32.2
283,10,25,1,64.6,32.3
284,4,25,1,64.8,32.4
285,8,25,1,65,32.5
286,11,25,1,65.2,32.6
287,8,25,1,65.4,32.7
288,13,25,1,65.6,32.8
289,5,25,1,65.8,32.9
290,11,25,1,66,33
291,4,25,1,66.2,33.1
292,8,25,1,66.4,33.2
293,11,25,1,66.6,33.3
294,7,25,1,66.8,33.4
295,5,25,1,67,33.5
296,8,25,1,67.2,33.6
297,7,25,1,67.4,33.7
298,7,25,1,67.6,33.8
299,7,25,1,67.8,33.9
300,8,25,1,68,34
301,5,25,1,68.2,34.1
302,12,25,1,68.4,34.2
303,9,25,1,68.6,34.3
304,7,25,1,68.8,34.4
305,9,25,1,69,34.5
306,4,25,1,69.2,34.6
307,6,25,1,69.4,34.7
308,7,25,1,69.6,34.8
309,10,25,1,69.8,34.9
310,5,25,1,70,35
